id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_il_6m,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m
68444620,73334399,35000,35000,35000, 60 months,11.99,778.38,C,C1,Foreign Service Officer,10+ years,MORTGAGE,128000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68444620,,home_improvement,Home improvement,200xx,DC,6.46,0,Feb-90,0,46,,17,0,14277,27.4,46,w,35000,35000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,56,1,INDIVIDUAL,,,,0,321,146867,1,11,0,0,28,35367,49.3,0,1,5020,40.1,52200,1,4,0
68547583,73437441,8650,8650,8650, 36 months,5.32,260.5,A,A1,Associate Consultant,< 1 year,MORTGAGE,100000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68547583,,credit_card,Credit card refinancing,462xx,IN,7.28,0,1-Jul,0,,,15,0,7158,26.7,24,w,8650,8650,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,165450,0,1,1,1,11,24041,88.8,0,3,3081,57.9,26800,1,0,5
67849662,72708407,4225,4225,4225, 36 months,14.85,146.16,C,C5,mechanic,5 years,RENT,35000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67849662,,debt_consolidation,Debt consolidation,672xx,KS,15.22,2,11-Jul,0,18,,6,0,1058,24.6,6,w,4225,4225,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,4888,0,1,0,0,47,3830,21.9,0,0,367,22.4,4300,0,0,0
68506885,73396712,10000,10000,10000, 60 months,11.99,222.4,C,C1,CARDIOVASCULAR TECH,10+ years,RENT,42500,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68506885,,debt_consolidation,Debt consolidation,460xx,IN,31.04,0,Dec-98,1,,,10,0,5812,40.9,23,w,10000,10000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,41166,1,3,0,2,13,35354,75.5,1,1,3118,67.4,14200,1,1,1
68341763,72928789,20000,20000,20000, 60 months,10.78,432.66,B,B4,truck driver,10+ years,MORTGAGE,63000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68341763,,home_improvement,,605xx,IL,10.78,0,Aug-00,0,,,6,0,7869,56.2,18,w,20000,20000,0,0,0,0,0,0,0,,0,16-Jan,15-Dec,0,,1,JOINT,71000,13.85,Not Verified,0,0,189699,0,1,0,4,19,10827,72.8,0,2,2081,64.7,14000,2,5,1
68416935,73306760,15000,15000,15000, 36 months,9.8,482.61,B,B3,Electronic Branch Manager,3 years,MORTGAGE,92000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68416935,,debt_consolidation,Debt consolidation,973xx,OR,13.89,0,1-Nov,1,,67,7,2,12703,35.2,31,w,15000,15000,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,312996,0,2,2,2,8,40694,69.8,1,1,7045,41.5,36100,0,3,2
68466916,73356753,25000,25000,25000, 36 months,7.49,777.55,A,A4,Sales Manager,10+ years,MORTGAGE,109000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466916,,debt_consolidation,Debt consolidation,226xx,VA,26.02,0,1-Dec,1,,,9,0,20862,54.3,19,w,25000,25000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,305781,0,3,0,1,13,47194,57.5,0,1,8937,56.5,38400,1,0,1
68407277,73297111,3600,3600,3600, 36 months,13.99,123.03,C,C4,leadman,10+ years,MORTGAGE,55000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68407277,,debt_consolidation,Debt consolidation,190xx,PA,5.91,0,3-Aug,1,30,,7,0,2765,29.7,13,w,3600,3600,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,30,1,INDIVIDUAL,,,,0,722,144904,2,2,0,1,21,4981,36.3,3,3,722,33.6,9300,3,1,4
68426831,73316657,11950,11950,11950, 36 months,13.44,405.18,C,C3,Veterinary Tecnician,4 years,RENT,34000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68426831,,debt_consolidation,Debt consolidation,300xx,GA,10.2,0,Oct-87,0,,,5,0,8822,68.4,6,w,11950,11950,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,12798,0,1,0,0,338,3976,99.4,0,0,4522,75.7,12900,0,0,0
68377020,73266845,15000,15000,15000, 36 months,5.32,451.73,A,A1,,,RENT,80000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68377020,,debt_consolidation,Debt consolidation,236xx,VA,20.18,0,Apr-93,1,35,,30,0,41593,21.4,47,w,15000,15000,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,330562,1,1,0,0,54,55536,,2,6,2491,21.4,194800,1,1,3
68366663,73256496,24000,24000,24000, 60 months,9.8,507.58,B,B3,,,OWN,77900,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68366663,,home_improvement,Home improvement,376xx,TN,10.24,0,Oct-82,1,50,,9,0,3454,10.3,21,w,24000,24000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,50,1,INDIVIDUAL,,,,0,0,127412,0,1,0,0,73,1456,4.3,0,1,3309,7.3,33600,1,0,2
68476807,73366655,10400,10400,10400, 60 months,22.45,289.91,F,F1,Contract Specialist,3 years,MORTGAGE,104433,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68476807,,major_purchase,Major purchase,174xx,PA,25.37,1,Jun-98,3,12,,12,0,21929,64.5,35,w,10400,10400,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,331730,1,3,0,3,14,73839,83.8,4,7,9702,78.4,34000,2,1,3
68585839,73475629,17475,17475,17475, 36 months,13.99,597.17,C,C4,Software Testing Analyst,2 years,RENT,39750,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68585839,,debt_consolidation,Debt consolidation,604xx,IL,23.58,0,2-May,0,27,,7,0,10987,52.3,13,w,17475,17475,0,0,0,0,0,0,0,,0,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,32365,0,3,0,1,18,21378,73.1,1,2,9131,64.4,21000,1,0,3
68466922,73356759,17925,17925,17925, 60 months,17.27,448.09,D,D3,IT Help Desk Support ,10+ years,OWN,39000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466922,,debt_consolidation,Debt consolidation,432xx,OH,27.78,0,2-Sep,1,,,10,0,19614,76,21,w,17925,17925,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,102008,0,2,0,1,23,19930,76.1,0,3,5426,76,25800,1,6,1
68506798,73396623,23000,23000,23000, 60 months,8.49,471.77,B,B1,Teacher,5 years,RENT,64000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68506798,,credit_card,Credit card refinancing,117xx,NY,18.28,0,1-Sep,0,29,,21,0,24940,52.7,33,w,23000,23000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,63886,0,7,0,0,42,38946,83.5,2,3,9516,68,47300,0,3,1
68495092,73384866,8650,8650,8650, 36 months,19.89,320.99,E,E3,Program Coordinator ,8 years,RENT,55000,Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68495092,,debt_consolidation,Debt consolidation,462xx,IN,25.49,0,5-Mar,4,,30,18,1,9568,46,19,w,8650,8650,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,18926,6,1,0,1,19,9358,51,12,16,653,46,20750,2,0,5
68476734,73366581,9000,9000,9000, 36 months,8.49,284.07,B,B1,Office Manager,8 years,MORTGAGE,47000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68476734,,debt_consolidation,Debt consolidation,346xx,FL,8.43,0,Nov-00,0,,,12,0,9747,26.7,22,w,9000,9000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,500,9747,2,0,0,0,,0,,2,5,4440,26.7,36500,0,0,0
66310712,71035433,35000,35000,35000, 60 months,14.85,829.9,C,C5,Information Systems Officer,10+ years,MORTGAGE,110000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=66310712,,debt_consolidation,Debt consolidation,076xx,NJ,17.06,0,8-Sep,0,,,13,0,7802,11.6,17,w,35000,35000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,301500,1,1,0,1,23,12609,70,1,1,6987,44.6,67300,0,1,0
68616873,73519699,8000,8000,8000, 36 months,11.48,263.74,B,B5,Vendor liaison,10+ years,MORTGAGE,42000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68616873,,credit_card,Credit card refinancing,029xx,RI,34.8,0,Nov-94,0,75,,8,0,7034,39.1,18,w,8000,8000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,75,1,INDIVIDUAL,,,,0,0,199696,0,2,2,3,10,106748,72.2,0,2,4725,48.8,18000,0,0,1
68466961,73356799,28000,28000,28000, 36 months,6.49,858.05,A,A2,Senior Manager,10+ years,MORTGAGE,92000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466961,,debt_consolidation,Debt consolidation,275xx,NC,21.6,0,May-84,0,42,,16,0,51507,64.5,24,w,28000,28000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,221110,0,2,0,0,27,23413,55.1,0,1,8752,61.2,79900,0,1,0
68617057,73519894,15000,15000,15000, 60 months,10.78,324.5,B,B4,Senior Buyer,10+ years,MORTGAGE,65000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68617057,,debt_consolidation,Debt consolidation,350xx,AL,29.28,0,1-Aug,0,,,18,0,24723,69.8,32,w,15000,15000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,224194,0,7,1,1,10,71557,80.6,1,2,8415,75.6,35400,0,1,1
68387134,73276991,2500,2500,2500, 36 months,17.27,89.47,D,D3,Teacher,10+ years,MORTGAGE,50000,Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68387134,,other,Other,330xx,FL,17.6,3,1-Jan,4,6,,7,0,732,31.1,22,w,2500,2500,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,18,1,INDIVIDUAL,,,,0,0,197169,3,3,2,4,2,196437,94.5,1,2,48,87.3,2500,6,3,5
68466995,73356835,10000,10000,10000, 36 months,7.91,312.95,A,A5,Teacher,2 years,RENT,40100,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68466995,,credit_card,Credit card refinancing,453xx,OH,10.81,0,Oct-98,1,,,4,0,6664,45,7,w,10000,10000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,1036,27354,1,1,0,0,76,20690,101.2,1,2,5037,77.6,14800,0,0,1
68396080,73285902,25000,25000,25000, 60 months,11.48,549.57,B,B5,Project Manager,10+ years,MORTGAGE,135000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68396080,,credit_card,Credit card refinancing,774xx,TX,4.65,0,4-Oct,0,47,,16,0,7340,13.5,33,w,25000,25000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,47,1,INDIVIDUAL,,,,0,0,23522,0,1,1,2,7,16182,91.2,2,6,2990,32.6,54400,1,1,5
68516507,73406314,14000,14000,14000, 36 months,9.8,450.43,B,B3,Master mechanic,4 years,MORTGAGE,100000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68516507,,medical,Medical expenses,439xx,OH,15.97,0,Dec-97,0,,,7,0,34250,36.1,14,f,14000,14000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,6594,451137,0,2,2,2,7,49789,89.2,0,0,11535,68.9,84500,0,1,1
68009401,72868139,16000,16000,16000, 60 months,14.85,379.39,C,C5,Bookkeeper/Accounting,10+ years,MORTGAGE,48000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68009401,,credit_card,Credit card refinancing,297xx,SC,33.18,0,Jun-91,0,33,2,11,2,19108,29.6,19,w,16000,16000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,33,1,INDIVIDUAL,,,,0,0,31329,1,2,1,2,6,12221,91.2,1,4,14982,65.3,284700,0,0,1
68354783,73244544,9600,9600,9600, 36 months,7.49,298.58,A,A4,tech,8 years,MORTGAGE,60000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68354783,,credit_card,Credit card refinancing,299xx,SC,22.44,0,Jun-96,0,,,7,0,7722,59.4,9,w,9600,9600,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,55387,0,3,0,0,47,47665,43,2,2,4744,50,13000,0,0,2
68415473,73305264,25000,25000,25000, 60 months,13.99,581.58,C,C4,Executive Assistant,9 years,MORTGAGE,79000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68415473,,debt_consolidation,Debt consolidation,212xx,MD,34.53,0,1-Jun,1,,,33,0,22519,18.6,72,w,25000,25000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,171,265233,3,3,2,4,5,67459,62.1,4,8,5447,27.9,121200,2,6,3
68446820,73336644,10000,10000,10000, 36 months,11.48,329.67,B,B5,Paralegal,2 years,RENT,33000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68446820,,debt_consolidation,Debt consolidation,477xx,IN,21.75,0,9-Aug,0,,12,12,1,8052,35.6,20,w,10000,10000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,23197,1,4,0,0,28,15145,55.8,2,6,2715,46.6,22600,0,0,1
68596180,73485987,20000,20000,20000, 36 months,5.32,602.3,A,A1,driver,9 years,OWN,65000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68596180,,debt_consolidation,Debt consolidation,125xx,NY,18.83,0,May-91,1,,,12,0,2269,3,17,w,20000,20000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,15444,0,2,0,1,15,13175,43.9,0,1,1448,14.5,76200,2,0,1
68394562,73284337,30000,30000,30000, 36 months,15.77,1051.31,D,D1,Vice-President,2 years,MORTGAGE,175000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68394562,,home_improvement,Home improvement,430xx,OH,18.5,0,Aug-97,1,61,,9,0,21831,50.3,23,w,30000,30000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,408118,2,4,2,4,6,130740,84.4,0,1,12141,71.1,43400,4,3,3
67715283,72569997,16000,16000,16000, 36 months,12.88,538.18,C,C2,"Owner, Fee Appraiser ",10+ years,MORTGAGE,65000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=67715283,,small_business,Business,354xx,AL,18.96,0,Dec-85,0,33,66,7,1,5157,54.3,20,w,16000,16000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,55,1,INDIVIDUAL,,,,0,1830,39781,2,2,0,0,27,34624,68,2,2,739,63.8,9500,0,5,0
68533595,73423325,12000,12000,12000, 36 months,10.78,391.62,B,B4,Public Affairs Specialist ,1 year,RENT,98000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68533595,,debt_consolidation,Debt consolidation,993xx,WA,24.04,0,2-Feb,0,33,61,15,1,20462,62.8,39,w,12000,12000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,69,1,INDIVIDUAL,,,,0,5930,374585,0,4,1,3,9,82819,66.2,1,2,12597,64.7,32600,1,1,0
68566856,73456693,28800,28800,28800, 60 months,11.99,640.5,C,C1,Office Manager,10+ years,OWN,60000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68566856,,debt_consolidation,Debt consolidation,331xx,FL,18.01,0,Feb-89,0,,,21,0,18421,10.5,37,w,28800,28800,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,41270,2,1,1,1,8,22849,90.7,3,7,7303,20.5,175800,1,0,2
68597047,73486873,19000,19000,19000, 60 months,14.85,450.52,C,C5,Application Analyst,9 years,OWN,75000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68597047,,credit_card,Credit card refinancing,112xx,NY,13.09,0,Jun-00,2,63,,15,0,17771,63.7,34,w,19000,19000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,72043,2,2,0,1,13,30388,82.8,3,6,2724,74.5,27900,0,4,2
68416256,73306061,5000,5000,5000, 36 months,9.8,160.87,B,B3,Accounts Payable Manager,6 years,OWN,72000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68416256,,other,Other,280xx,NC,6.52,0,2-Jan,0,,89,11,1,4838,56.3,20,f,5000,5000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,142064,0,6,0,0,62,15913,68.4,1,2,0,65.1,8600,0,3,1
68525943,73415740,20000,20000,20000, 36 months,12.88,672.73,C,C2,President,10+ years,MORTGAGE,145000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68525943,,debt_consolidation,Debt consolidation,029xx,RI,12.28,0,4-Feb,0,,,12,0,22551,80.2,21,w,20000,20000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,429218,2,3,1,2,2,9935,42.7,2,3,4627,62.3,28500,1,0,6
68543413,73433136,10000,10000,10000, 36 months,12.88,336.37,C,C2,Contract Specialist,4 years,MORTGAGE,91392,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68543413,,house,Home buying,644xx,MO,9.44,0,6-Sep,0,,,13,0,6959,41.7,33,f,10000,10000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,304514,2,4,1,4,6,66773,87.5,1,1,2180,71,16700,0,0,3
68476668,73366513,20000,20000,20000, 36 months,9.17,637.58,B,B2,Vice President of Recruiting Operations,10+ years,MORTGAGE,180000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68476668,,debt_consolidation,Debt consolidation,550xx,MN,14.67,0,Jun-90,0,49,,12,0,87329,84.5,27,f,20000,20000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,360358,0,2,0,2,18,29433,63.4,2,3,13048,73.6,94200,1,0,1
68527009,73416854,20000,20000,20000, 36 months,9.8,643.47,B,B3,Manager,5 years,RENT,75000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68527009,,debt_consolidation,Debt consolidation,984xx,WA,23.45,0,May-92,0,70,,14,0,7558,9.6,26,w,20000,20000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,70,1,INDIVIDUAL,,,,0,0,40090,2,2,2,3,8,32532,84.3,3,5,1600,34.1,78900,0,2,0
68376533,73266349,18000,18000,18000, 36 months,7.49,559.83,A,A4,Systems Support Engineer,5 years,MORTGAGE,75000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68376533,,debt_consolidation,Debt consolidation,030xx,NH,25.65,0,1-Mar,1,46,,12,0,7758,33.2,47,w,18000,18000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,304914,3,6,2,3,6,94902,76,2,3,4829,64.5,23400,1,3,3
68357012,73246847,15000,15000,15000, 36 months,8.49,473.45,B,B1,Senior Associate,6 years,MORTGAGE,110000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68357012,,credit_card,Credit card refinancing,085xx,NJ,13.24,0,2-Dec,0,,71,16,1,19029,41.4,33,w,15000,15000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,327836,0,2,0,1,14,8820,41.8,3,5,10538,41.5,46000,2,0,3
68476714,73366560,3600,3600,3600, 36 months,11.48,118.68,B,B5,Systems Administrator,< 1 year,MORTGAGE,85000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68476714,,debt_consolidation,Debt consolidation,220xx,VA,17.44,0,Apr-94,2,,81,12,1,6952,28.7,23,w,3600,3600,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,194,407032,0,3,1,3,9,35380,81.7,0,1,4288,62.7,24200,2,1,8
68366999,73256850,15850,15850,15850, 60 months,23.13,448.01,F,F2,Lead manufacturing ,10+ years,OWN,45000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68366999,,debt_consolidation,Debt consolidation,440xx,OH,34.85,0,7-Jan,1,,,18,0,8799,21.3,24,f,15850,15850,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,25,45025,3,2,2,3,5,36226,84.2,2,2,6833,53.4,41300,1,0,1
68587652,73477494,25000,25000,25000, 36 months,5.32,752.87,A,A1,Director,1 year,MORTGAGE,150000,Not Verified,15-Dec,Current,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68587652,,credit_card,Credit card refinancing,054xx,VT,9.54,0,Feb-96,0,,,7,0,19339,42.5,18,w,24357.97,24357.97,682.67,682.67,642.03,40.64,0,0,0,16-Jan,701.14,16-Feb,16-Jan,0,,1,INDIVIDUAL,,,,0,0,430856,1,2,0,0,28,25447,5.6,1,1,19339,34.3,45500,0,7,0
68526883,73416719,15000,15000,15000, 36 months,5.32,451.73,A,A1,DEPUTY SHERIFF,10+ years,MORTGAGE,44000,Source Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68526883,,home_improvement,Home improvement,238xx,VA,15.34,0,2-Jun,1,47,,7,0,17003,50.3,21,w,15000,15000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,17003,0,0,0,1,19,0,,0,1,5966,50.3,33800,0,3,3
68436666,73326493,5000,5000,5000, 36 months,13.44,169.54,C,C3,General Manager,2 years,RENT,79000,Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68436666,,credit_card,Credit card refinancing,214xx,MD,12.7,0,11-Oct,0,,,3,0,9441,101.5,5,w,5000,5000,0,0,0,0,0,0,0,,0,16-Jan,16-Jan,0,,1,INDIVIDUAL,,,,0,0,35653,0,1,0,1,19,26212,82.5,0,0,4360,86.8,9300,2,0,0
68340446,72927379,14000,14000,14000, 60 months,14.85,331.96,C,C5,Accountant,2 years,MORTGAGE,60000,Not Verified,15-Dec,Issued,n,https://www.lendingclub.com/browse/loanDetail.action?loan_id=68340446,,debt_consolidation,,852xx,AZ,24.29,0,9-Aug,0,,,11,0,12718,73.9,24,w,14000,14000,0,0,0,0,0,0,0,,0,16-Jan,15-Dec,0,,1,INDIVIDUAL,,,,0,0,70789,0,2,1,2,10,58071,98.7,0,1,4952,88.5,17200,1,0,5
